"",f.value,p.value,-log10(p),FDR,Fisher's LSD
alpha_pinene,38.019,1.3383e-06,5.8735,6.0269e-06,811 - 808; 912 - 808
beta_citronellol,36.514,1.722e-06,5.764,6.0269e-06,912 - 808; 912 - 811
sabinene,6.6497,0.0085575,2.0677,0.019968,912 - 808; 912 - 811
