"","id","group","limonene","p_cymene","methyl_salicylate","alpha_pinene","alpha_terpinene","sabinene","beta_citronellol"
"1","p13_0808_1200","0808",0.0623365753267393,0.00817673540543624,NA,NA,NA,NA,NA
"2","p14_0808_1500","0808",0.0187158771274627,NA,0.0369633133382243,NA,NA,NA,NA
"3","p4_0808_1500","0808",0.334440447387312,0.135180431179589,0.0537135963431799,NA,NA,NA,NA
"4","p9_0808_1500","0808",0.0715093075632816,0.0423452908231582,0.0392217130739428,NA,NA,NA,NA
"5","p11_0811_1110","0811",1.66330021461425,1.11045144492031,0.0540615073880376,0.514976769560542,0.144384775774435,NA,NA
"6","p11_0811_1330","0811",0.0384763856270058,0.0359661387148277,0.0266063458229001,0.105399885112643,NA,NA,NA
"7","p14_0811_1110","0811",0.0566896803596969,0.0326104321218835,0.0188390501356713,0.105162009599933,NA,NA,NA
"8","p14_0811_1330","0811",0.0265012598696865,0.0322944797928514,0.0178892420794985,0.12013808159123,NA,NA,NA
"9","p14_0811_900","0811",NA,0.0364891364592019,0.0145712143699615,0.0683287906585967,NA,NA,NA
"10","p4_0811_1110","0811",0.062132603448475,0.04522400812279,0.025640480968222,0.11261984021368,0.00198897410396846,NA,NA
"11","p4_0811_1330","0811",0.0143856988012243,NA,0.0259757892821884,0.116631633551715,NA,NA,NA
"12","p4_0811_900","0811",0.078173325815705,0.0538980074777647,0.0191585320504776,0.102780555827159,NA,NA,NA
"13","p9_0811_900","0811",0.937104448843652,0.341480104568129,0.0504662641483186,0.287515829673174,0.051580862287411,NA,NA
"14","p11_0912_1500","0912",0.518842346556788,0.330443557490473,0.039281630287203,0.233457555892276,NA,0.661487751529681,0.0454938608014298
"15","p11_0912_900","0912",0.0290279454385918,0.0685867744422878,0.096494987901832,0.173729160573267,NA,0.240138796564652,0.0265363077986652
"16","p13_0912_900","0912",0.175449330702555,0.0613438860618165,0.0592042730543102,0.224667346440935,NA,NA,0.00898548345863402
"17","p14_0912_1500","0912",NA,0.0132642563720374,0.0186289773264773,0.0273397591853217,NA,NA,0.00967308825454763
"18","p14_0912_900","0912",NA,0.0571798959548669,0.0354883956129648,0.114989960644142,NA,0.109619672189549,0.152598209046207
